1|Tremors: You exhibit shaking hands, twitchy eyelids, and/or other visible tremors.
2|Night Terrors: You find it hard to achieve restful sleep. When you wake in the morning, a Luck (Con) save is required to avoid being Fatigued.
3|Poor Hygiene: You stop looking after yourself, preoccupied with other more pressing concerns (real or imaginary).
4|Skewed Levity: You laugh at odd or inappropriate moments, and no longer find common humour funny.
5|Social Deficit: You tend to speak plainly, without regard for the usual social norms and etiquettes.
6|Dissociative Fugue: You experience short periods of time where you cannot recall what happened to you (“blackouts”).
7|Trophy Fetish: You develop a growing compulsion to keep trophies of those you kill or otherwise defeat, as a reminder of your victory and power.
8|Obsession: You develop an unhealthy devotion to an allied NPC, or an obsessive vengeance against an individual enemy or faction.
9|OCD: You develop an OCD ritual that “protects” you or those you love against some form of perceived danger, threat, or bad luck.
10|Phobia: You develop an acute phobia related to the event that caused your Madness (directly or indirectly).
11|Mute: From time to time, you inexplicably lose the power of speech.
12|Confusion: You are prone to becoming disoriented about where you are, and what you are meant to be doing.
13|Deathwish: You are addicted to the thrill of extreme danger and/or are in a spiral of deadly despondency.
14|Voices: You hear whispering voices that compel you to do things, or not do things.
15|Hallucinations: Now and then you are subject to distracting visual delusions, roll 1d8: (i) roaches, (ii) flies, (iii) snakes, (iv) spiders, (v) devils, (vi) ghosts, (vii) sprites, (viii) wombats.
16|Empathy Deficit: You develop an obvious lack of empathy and guilt. You kill or maim foes without mercy or hesitation.
17|Explosive Rage: You have impaired impulse control when it comes to outbursts of verbal aggression and physical violence, especially when provoked.
18|Paranoia: You believe one of your party (determine randomly) intends to betray or harm you.
19|Catatonia: From time to time, particularly under periods of stress, you withdraw into a non responsive, catatonic stupor. You may be shaken out of such with a Luck (Will) save (GM’s call).
20|God Delusion: You believe you are a demi god, daemon, or spirit in mortal form. You have no fear of death; if this body is destroyed, you will simply manifest a new physical avatar.
